Book,Chapter,Verse,P,Pg,Ps
Exodus,19,19,0,0,0

Exodus,19,20,0,0,0

Exodus,19,21,0,0,0

Exodus,19,22,0,0,0

Exodus,19,23,0,0,0

Exodus,19,24,0,0,0

Exodus,19,25,0,0,0

Exodus,20,1,0,0,0

Exodus,20,2,0,0,0

Exodus,20,3,0,0,0

Exodus,20,4,0,0,0

Exodus,20,5,0,0,0

Exodus,20,6,0,0,0

Exodus,20,7,0,0,0

Exodus,20,8,0,0,0

Exodus,20,9,0,0,0

Exodus,20,10,0,0,0

Exodus,20,11,0,0,0

Exodus,20,12,0,0,0

Exodus,20,13,0,0,0

Exodus,20,14,0,0,0

Exodus,20,15,0,0,0

Exodus,20,16,0,0,0

Exodus,20,17,0,0,0

Exodus,20,18,0,0,0

Exodus,20,19,0,0,0

Exodus,20,20,0,0,0

Exodus,20,21,0,0,0

Exodus,20,22,0,0,0

Exodus,20,23,0,0,0

Exodus,20,24,0,0,0

Exodus,20,25,0,0,0

Exodus,20,26,0,0,0

Exodus,21,1,0,0,0

Exodus,21,2,0,0,0

Exodus,21,3,0,0,0

Exodus,21,4,0,0,0

Exodus,21,5,0,0,0

Exodus,21,6,0,0,0

Exodus,21,7,0,0,0

Exodus,21,8,0,0,0

Exodus,21,9,0,0,0

Exodus,21,10,0,0,0

Exodus,21,11,0,0,0

Exodus,21,12,0,0,0

Exodus,21,13,0,0,0

Exodus,21,14,0,0,0

Exodus,21,15,0,0,0

Exodus,21,16,0,0,0

Exodus,21,17,0,0,0

Exodus,21,18,0,0,0

Exodus,21,19,0,0,0

Exodus,21,20,0,0,0

Exodus,21,21,0,0,0

Exodus,21,22,0,0,0

Exodus,21,23,0,0,0

Exodus,21,24,0,0,0

Exodus,21,25,0,0,0

Exodus,21,26,0,0,0

Exodus,21,27,0,0,0

Exodus,21,28,0,0,0

Exodus,21,29,0,0,0

Exodus,21,30,0,0,0

Exodus,21,31,0,0,0

Exodus,21,32,0,0,0

Exodus,21,33,0,0,0

Exodus,21,34,0,0,0

Exodus,21,35,0,0,0

Exodus,21,36,0,0,0

Exodus,21,37,0,0,0

Exodus,22,1,0,0,0

